;Year;Month;vivienda;justicia;educación;empleo;medio ambiente;salud;social;ideología;economía;internacional;cultura;inseguridad ciudadana;jóvenes;servicios públicos e infraestructuras;corrupción;fuerzas armadas;tecnologia e investigación;terrorismo;otros
13;2002.0;2.0;0.0273101384212;0.0;0.0579872802095;0.0258136924804;0.0501309390198;0.0258136924804;0.0374111485223;0.0145903479237;0.276094276094;0.131687242798;0.0;0.0609801720913;0.0549943883277;0.0976430976431;0.0;0.0;0.0347923681257;0.104751215862;0.0
14;2002.0;3.0;0.0;0.0340030911901;0.0471406491499;0.0166151468315;0.0633693972179;0.0146831530139;0.0212519319938;0.0112055641422;0.213678516229;0.0595054095827;0.0741885625966;0.0513910355487;0.0710973724884;0.14142194745;0.0459814528594;0.0494590417311;0.0220247295209;0.0629829984544;0.0
15;2002.0;4.0;0.0158030135979;0.0102903344359;0.0393237780228;0.047776552738;0.0485115766262;0.0172730613745;0.0246233002573;0.0;0.342521131937;0.0602719588387;0.00514516721793;0.00661521499449;0.0735023888276;0.128996692393;0.0760749724366;0.0374862183021;0.0297684674752;0.0360161705255;0.0
16;2002.0;5.0;0.0;0.022607022607;0.022607022607;0.022126022126;0.0865800865801;0.0;0.039923039923;0.012506012506;0.325637325637;0.102453102453;0.03367003367;0.0606060606061;0.0543530543531;0.028379028379;0.043771043771;0.0;0.101491101491;0.04329004329;0.0
17;2002.0;6.0;0.0152671755725;0.0202290076336;0.0145038167939;0.190076335878;0.0374045801527;0.0148854961832;0.0488549618321;0.0;0.193893129771;0.0614503816794;0.0152671755725;0.0812977099237;0.0851145038168;0.120610687023;0.0229007633588;0.0259541984733;0.025572519084;0.0267175572519;0.0
134;2002.0;7.0;0.00763358778626;0.0188532851111;0.0285084034371;0.126922910499;0.0982960548378;0.0074427480916;0.0326938956539;0.00921114785073;0.259676843582;0.0663888658515;0.0246387838184;0.0550560349335;0.0557835154889;0.100220317531;0.0265661114857;0.043917108684;0.012786259542;0.0254041258154;0.0
18;2002.0;9.0;0.0;0.0174775625886;0.0425129900803;0.0637694851205;0.159187529523;0.0;0.0165328294757;0.0184222957015;0.325460557393;0.0713273500236;0.0340103920642;0.0288143599433;0.0264525271611;0.0798299480397;0.0302314596127;0.0618800188947;0.0;0.0240906943788;0.0
19;2002.0;10.0;0.0978934324659;0.0388269310202;0.0735233374639;0.058653448988;0.0322180916976;0.0173482032218;0.0441966129698;0.0;0.343246592317;0.0136307311029;0.0532837670384;0.062370921107;0.0462618752582;0.0152829409335;0.0322180916976;0.0033044196613;0.0388269310202;0.0289136720363;0.0
20;2002.0;11.0;0.0806028833552;0.0249017038008;0.0366972477064;0.0262123197903;0.0694626474443;0.0;0.0111402359109;0.0;0.281782437746;0.0;0.0714285714286;0.0301441677588;0.0661861074705;0.0950196592398;0.0668414154653;0.0858453473132;0.019003931848;0.0347313237221;0.0
21;2002.0;12.0;0.07824933687;0.105437665782;0.0;0.0;0.113395225464;0.0;0.0;0.0;0.0510610079576;0.0;0.0384615384615;0.00729442970822;0.051724137931;0.0689655172414;0.109416445623;0.244694960212;0.102122015915;0.0291777188329;0.0
135;2003.0;1.0;0.0652791433022;0.0610964381221;0.0;0.014303228443;0.129031082287;0.0;0.0075602778913;0.0;0.110736879132;0.008173273396;0.0564191631825;0.0312320125656;0.0415956202528;0.0504206417429;0.0863796572212;0.233299666457;0.0598472768583;0.0446256391467;0.0
22;2003.0;2.0;0.0523089497344;0.0167552104618;0.0;0.028606456886;0.144666939109;0.0;0.0151205557826;0.0;0.170412750306;0.016346546792;0.0743767879036;0.055169595423;0.0314671025746;0.0318757662444;0.063342868819;0.221904372701;0.0175725378014;0.0600735594606;0.0
23;2003.0;3.0;0.0;0.0185109008638;0.0;0.0123406005759;0.0584121760592;0.0;0.0;0.0119292472234;0.146441793501;0.0835047305636;0.0152200740436;0.0222130810366;0.048128342246;0.152200740436;0.0160427807487;0.293294940354;0.0958453311394;0.0259152612094;0.0
24;2003.0;4.0;0.0138331102187;0.0;0.0352521195895;0.0151717983043;0.0892458723784;0.0151717983043;0.0;0.0;0.14145470772;0.0678268630076;0.0821062025881;0.0;0.0;0.0874609549308;0.0321285140562;0.359660865685;0.0352521195895;0.0254350736278;0.0
25;2003.0;5.0;0.0944069813566;0.0238000793336;0.0138833796113;0.0761602538675;0.0686235620785;0.0162633875446;0.0119000396668;0.00952003173344;0.178500595002;0.0634668782229;0.0491868306228;0.0230067433558;0.070606902023;0.0940103133677;0.0162633875446;0.0587068623562;0.0952003173344;0.0364934549782;0.0
26;2003.0;6.0;0.00574712643678;0.0387931034483;0.0;0.0474137931034;0.0680076628352;0.0;0.0;0.0;0.0962643678161;0.0186781609195;0.0387931034483;0.0186781609195;0.0459770114943;0.172413793103;0.0670498084291;0.217911877395;0.0708812260536;0.0933908045977;0.0
136;2003.0;7.0;0.0103972089622;0.0765762593768;0.0139724849527;0.0385392267323;0.0750614410479;0.00881341358555;0.0193465176268;0.0;0.168295554501;0.00933908045977;0.0215461647938;0.013853267906;0.0453444816715;0.14295668159;0.0380390916608;0.175164021242;0.0491981366726;0.0935569672172;0.0
27;2003.0;9.0;0.0150472914875;0.114359415305;0.0279449699054;0.0296646603611;0.0821152192605;0.0176268271711;0.0386930352537;0.0;0.240326741187;0.0;0.00429922613929;0.00902837489252;0.0447119518487;0.113499570077;0.00902837489252;0.13241616509;0.0275150472915;0.0937231298366;0.0
