;Year;Month;vivienda;justicia;educación;empleo;medio ambiente;salud;jóvenes;ideología;economía;internacional;cultura;inseguridad ciudadana;social;servicios públicos e infraestructuras;corrupción;fuerzas armadas;tecnologia e investigación;terrorismo;otros
27;2003.0;9.0;0.0150472914875;0.107480653482;0.0279449699054;0.0713671539123;0.124247635426;0.0;0.0447119518487;0.0;0.0950128976784;0.0902837489252;0.00429922613929;0.00902837489252;0.0137575236457;0.0692175408426;0.00300945829751;0.0270851246776;0.0167669819433;0.0378331900258;0.24290627687
28;2003.0;10.0;0.167487684729;0.0218156228008;0.0218156228008;0.0724841660802;0.0774102744546;0.0;0.0253342716397;0.0337790288529;0.045742434905;0.0246305418719;0.027445460943;0.143560872625;0.0;0.123856439127;0.0;0.0;0.0;0.0;0.21463757917
29;2003.0;11.0;0.045648204504;0.0377358490566;0.0;0.0146074254413;0.0;0.049908703591;0.0;0.0377358490566;0.131466828971;0.0413877054169;0.0243457090688;0.0486914181376;0.0231284236153;0.11868533171;0.0730371272063;0.0882531953743;0.0182592818016;0.0170419963481;0.2300669507
30;2003.0;12.0;0.0487804878049;0.0919324577861;0.0206378986867;0.0350218886804;0.136960600375;0.0;0.0419011882427;0.0;0.0650406504065;0.0662914321451;0.025641025641;0.0;0.0;0.138836772983;0.0193871169481;0.0156347717323;0.0;0.0281425891182;0.26579111945
137;2004.0;1.0;0.0323234380569;0.0747762497699;0.0263941059195;0.0392228441314;0.174534579937;0.0;0.0591551870232;0.0;0.0797019535957;0.0611206638805;0.0205449387078;0.00897703549061;0.0192066805846;0.103447614049;0.0167916795596;0.00781738586617;0.0;0.0140712945591;0.261914348869
138;2004.0;2.0;0.0323234380569;0.0747762497699;0.0263941059195;0.0392228441314;0.174534579937;0.0;0.0591551870232;0.0;0.0797019535957;0.0611206638805;0.0205449387078;0.00897703549061;0.0192066805846;0.103447614049;0.0167916795596;0.00781738586617;0.0;0.0140712945591;0.261914348869
139;2004.0;3.0;0.0323234380569;0.0747762497699;0.0263941059195;0.0392228441314;0.174534579937;0.0;0.0591551870232;0.0;0.0797019535957;0.0611206638805;0.0205449387078;0.00897703549061;0.0192066805846;0.103447614049;0.0167916795596;0.00781738586617;0.0;0.0140712945591;0.261914348869
140;2004.0;4.0;0.0323234380569;0.0747762497699;0.0263941059195;0.0392228441314;0.174534579937;0.0;0.0591551870232;0.0;0.0797019535957;0.0611206638805;0.0205449387078;0.00897703549061;0.0192066805846;0.103447614049;0.0167916795596;0.00781738586617;0.0;0.0140712945591;0.261914348869
31;2004.0;5.0;0.015866388309;0.0576200417537;0.0321503131524;0.0434237995825;0.212108559499;0.0;0.0764091858038;0.0;0.094363256785;0.0559498956159;0.0154488517745;0.0179540709812;0.0384133611691;0.0680584551148;0.0141962421712;0.0;0.0;0.0;0.258037578288
32;2004.0;6.0;0.0224782242203;0.0828884518123;0.0250070244451;0.0314695139084;0.143017701602;0.00871031188536;0.0989041865693;0.00871031188536;0.0590053385783;0.0716493397022;0.0103961787019;0.017139645968;0.0;0.0474852486654;0.0286597358809;0.0219162686148;0.0;0.039898847991;0.28266366957
