date,corrupcionCongreso,corrupcionCis,economiaCongreso,economiaCis,educacionCongreso,educacionCis,empleoCongreso,empleoCis,ideologiaCongreso,ideologiaCis,icCongreso,icCis,jovenesCongreso,jovenesCis,justiciaCongreso,justiciaCis,maCongreso,maCis,otrosCongreso,otrosCis,saludCongreso,saludCis,speiCongreso,speiCis,socialCongreso,socialCis,terrorismoCongreso,terrorismoCis,viviendaCongreso,viviendaCis
20030930,6.1899999999999995,5.52,10.530000000000001,6.5200000000000005,2.7049999999999996,2.2800000000000002,8.06,26.780000000000005,12.959999999999999,0.045,1.145,10.4,6.3149999999999995,0.685,11.31,0.745,10.85,0.915,10.725,4.795,1.095,7.050000000000001,8.184999999999999,0.72,1.035,9.65,5.050000000000001,18.62,3.85,5.285
20031231,7.176666666666668,3.913333333333333,6.34,7.840000000000001,2.83,2.206666666666667,6.263333333333334,26.24666666666667,7.426666666666666,0.2533333333333333,5.07,10.116666666666667,4.943333333333333,0.6599999999999999,5.36,0.8033333333333333,7.076666666666666,0.6633333333333334,12.666666666666668,4.9399999999999995,1.6633333333333333,6.8933333333333335,19.15,0.8833333333333332,0.0,9.793333333333333,3.836666666666667,17.563333333333333,10.193333333333332,7.216666666666667
20040331,3.7833333333333337,3.6966666666666668,9.093333333333332,6.536666666666667,6.163333333333334,2.4233333333333333,10.08,25.876666666666665,11.709999999999999,0.09666666666666665,1.2733333333333332,8.446666666666667,8.143333333333334,0.4766666666666666,6.256666666666668,0.5599999999999999,17.779999999999998,0.3933333333333333,8.666666666666668,4.3566666666666665,0.0,5.616666666666666,9.176666666666666,0.8433333333333333,0.0,10.216666666666667,3.93,22.38,3.9433333333333342,8.086666666666666
20040630,3.8766666666666665,2.5433333333333334,8.57,6.633333333333334,5.476666666666666,2.6033333333333335,9.576666666666666,26.19,9.566666666666668,0.013333333333333334,1.73,7.096666666666667,9.73,0.5133333333333333,9.546666666666665,0.47000000000000003,16.619999999999997,0.5833333333333334,10.706666666666665,4.259999999999999,0.29,5.216666666666667,7.873333333333334,0.5133333333333333,0.0,10.876666666666669,3.913333333333333,23.566666666666666,2.523333333333333,8.913333333333332
20040930,4.32,3.1,10.72,6.965000000000001,5.21,2.655,7.289999999999999,26.180000000000003,13.059999999999999,0.0,0.5700000000000001,7.515,8.885,0.725,9.575,0.51,11.785,0.765,7.985,4.705,3.0300000000000002,6.404999999999999,12.165000000000001,0.98,0.0,12.11,4.23,19.585,1.17,7.805000000000001
20041231,4.926666666666668,3.746666666666667,13.956666666666667,7.37,6.023333333333334,2.5466666666666664,5.27,24.73333333333333,7.433333333333334,0.013333333333333334,1.9966666666666668,7.223333333333333,4.3500000000000005,0.76,10.763333333333332,0.5533333333333333,9.573333333333334,0.7166666666666668,15.380000000000003,4.04,7.563333333333333,6.596666666666668,7.496666666666668,0.7200000000000001,0.0,12.283333333333333,3.266666666666667,20.666666666666668,2.0,8.023333333333333
20050331,3.37,3.4366666666666665,9.083333333333334,6.413333333333333,2.1033333333333335,2.7733333333333334,5.099999999999999,25.683333333333337,14.873333333333335,0.4566666666666666,2.83,6.816666666666666,6.083333333333333,0.7833333333333333,8.973333333333333,0.6233333333333334,10.086666666666666,0.9233333333333335,13.649999999999999,4.66,5.3100000000000005,5.906666666666666,10.833333333333334,0.7666666666666666,0.0,12.61,4.31,19.976666666666667,3.3966666666666665,8.163333333333334
20050630,5.93,3.836666666666667,6.453333333333333,8.309999999999999,7.533333333333332,2.606666666666667,4.8533333333333335,25.813333333333333,5.163333333333334,1.1766666666666667,3.266666666666667,5.69,9.463333333333335,0.84,7.083333333333335,0.49000000000000005,15.896666666666667,1.19,10.316666666666666,4.43,1.8199999999999998,5.033333333333333,9.506666666666668,0.5466666666666667,0.0,14.096666666666666,9.306666666666667,16.28666666666667,3.3999999999999995,9.656666666666665
20050930,8.09,3.2649999999999997,7.445,8.305,1.72,2.83,8.615,24.605,2.91,1.115,3.655,5.52,6.83,0.9899999999999999,7.8149999999999995,0.555,11.53,2.455,11.87,3.9050000000000002,4.755,4.89,14.069999999999999,0.6,0.695,14.08,8.774999999999999,17.69,1.225,9.190000000000001
20051231,2.23,5.073333333333333,8.796666666666669,9.173333333333334,5.499999999999999,3.88,6.419999999999999,24.073333333333334,7.413333333333334,1.8466666666666667,2.8866666666666667,6.966666666666667,9.526666666666667,0.6733333333333335,9.566666666666668,0.6233333333333334,15.583333333333336,1.1133333333333333,8.219999999999999,4.216666666666667,4.463333333333334,5.316666666666666,10.713333333333335,0.4666666666666666,0.0,17.893333333333334,5.613333333333333,10.703333333333333,3.0633333333333335,7.9799999999999995
